STT,TÊN SÁCH,,TỔNG ,,,,TẶNG,,,,,,,,,BÁN,,,,,,
,,,,,,REVIEW,,"THƯ VIỆN/ THIỆN NGUYỆN/ 
CÔNG VIỆC",,KHÉP HẠ + THU 2024,LẺ,,,ĐẠI LÝ,,,ĐẦU NẬU,"mua 
THƯ VIỆN",MUA ĐỨT,,MUA KHÁC,
,,TỔNG 2024+,"XUẤT 
T4-T6/24","XUẤT 
7-1/2025",THÁNG 7-11/2024,THÁNG 12/2024,THÁNG 1/2025,THÁNG 7-11/2024,THÁNG 12/2024,,THÁNG 7-11/2024,"THÁNG 
12/2024","THÁNG 
1/2025",THÁNG 7-11/2024,THÁNG 12/2024,"THÁNG 
1/2025",THÁNG 7-11/2024,THÁNG 7-11/2024,THÁNG 7-11/2024,THÁNG 12/2024,THÁNG 7-11/2024,THÁNG 12/2024
50,Hotel Savoy,245,,245,26,2,2,,0,78,7,1,,76,6,4,20,3,12,0,5,3
51,Ngắn,273,,273,43,1,2,,0,77,14,,,72,3,4,20,3,20,1,10,3
52,Chuyện các bà vợ già,283,,283,49,3,3,,0,82,6,,,81,4,2,20,3,22,0,5,3
53,Giữa đất và nước,265,,265,13,37,7,,1,94,,,1,0,69,7,,,14,14,,8
54,Ngợp,245,,245,8,34,10,,1,94,,,,0,65,6,,,7,12,,8
55,Ba lối tới hồ,264,,264,18,44,7,,1,94,,,3,0,66,5,,,5,13,,8
56,Bão lớn,191,,191,9,37,7,,1,48,,,,0,49,9,,,5,18,,8
57,Người lính tốt,194,,194,14,40,3,,1,47,,1,2,0,53,8,,,0,17,,8
58,Những chuyến dạo chơi,188,,188,4,40,3,,1,51,,1,2,0,51,10,,,0,17,,8
59,May,183,,183,5,33,9,,1,47,,,2,0,49,11,,,0,18,,8
60,Nghĩ,218,,218,6,39,6,,1,67,,,14,0,51,9,,,0,17,,8
61,Gentleman cắn thuốc phiện,208,,208,14,43,7,,1,52,,,7,0,50,9,,,0,17,,8
62,Nghề sống,208,,208,15,44,5,,1,54,,,5,0,48,11,,,0,17,,8
63,Hành khúc Radetzky,191,,191,4,41,6,,1,49,,1,2,0,52,10,,,0,17,,8
