,,,TÊN SÁCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XBK + FORMA,Hộp chốt,Tổng bán FORMA,,,,,,,2024,2025,2026,2025,,,,,,,,,,,,2026,,,,,,,,,,,
,,,,SL IN,% BÁN/ IN,TỒN,% TỒN,TẶNG,Tổng 2024,Tổng 2025,Tổng 2026,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
342,154,188,Giống như là chết ,,,,,,66,67,55,1,10,7,4,0,3,6,10,3,14,2,7,4,8,11,8,6,8,10,,,,,
482,206,276,Những hiệu quế,,,,,,122,101,53,7,13,7,13,6,6,9,5,7,9,10,9,6,3,7,13,4,8,12,,,,,
246,154,92,Hành trình tình cảm,,,,,,54,25,13,0,0,5,2,2,2,2,2,3,2,5,0,1,4,0,0,1,4,3,,,,,
155,15,140,Le Spleen de Paris (Tái bản) ,,,,,,64,44,32,1,6,2,3,3,4,7,2,2,8,1,5,5,2,5,6,3,5,6,,,,,
381,186,195,Họa sĩ của cuộc sống hiện đại ,,,,,,76,76,43,9,6,5,1,4,4,8,3,6,19,3,8,5,5,5,15,5,6,2,,,,,
498,169,329,Con quái vật trong rừng và Bàn thờ người chết ,,,,,,123,116,90,3,14,8,10,5,13,10,10,5,12,11,15,12,5,12,12,8,14,27,,,,,
380,264,116,Giáo dục châu Âu ,,,,,,67,32,17,2,3,4,4,2,1,1,4,2,3,1,5,2,0,0,6,1,4,4,,,,,
156,,156,Đoản luận: Văn chương ,,,,,,87,36,33,5,5,3,1,2,3,4,5,2,2,2,2,6,4,3,4,6,4,6,,,,,
133,,133,Cháu trai Wittgenstein,,,,,,68,36,29,2,3,2,4,1,3,1,2,2,9,3,4,2,1,3,4,4,7,8,,,,,
306,,306,Các khía cạnh của tiểu thuyết,,,,,,119,138,49,7,10,9,11,5,12,20,10,14,11,12,17,9,2,4,4,10,11,9,,,,,
85,,85,Jacket trắng ,,,,,,49,21,15,0,0,3,2,2,0,2,1,2,4,2,3,2,2,1,2,2,3,3,,,,,
76,,76,Ba truyện đời ,,,,,,40,26,10,2,12,2,0,0,0,0,0,2,3,2,3,1,0,0,0,0,3,6,,,,,
155,,155,Vẽ một phụ nữ,,,,,,68,51,36,0,10,3,3,1,2,1,6,7,11,6,1,4,2,5,3,4,11,7,,,,,
618,,618,Bốn tình yêu,2000,"30,90%",1382,69%,,373,132,113,13,14,10,10,10,9,11,16,6,13,11,9,19,10,11,20,17,25,11,,,,,
296,,296,Daisy Miller & Di sản Aspern,2000,"14,80%",1704,85%,,238,37,21,0,6,1,1,3,0,2,2,2,9,7,4,1,0,2,3,3,7,5,,,,,
525,,525,Dưỡng đường đồng hồ cát,2000,"26,25%",1475,74%,,342,119,64,7,14,17,20,3,10,6,9,5,8,11,9,7,4,9,13,9,10,12,,,,,
381,,381,In illo Tempore,700,"54,43%",319,46%,,221,117,43,7,28,30,14,6,3,6,1,7,4,5,6,2,5,7,15,4,4,6,,,,,
308,,308,Hotel Savoy,2000,"15,40%",1692,85%,,205,76,27,4,7,8,5,6,5,8,3,4,8,10,8,1,4,0,7,1,5,9,,,,,
333,,333,Ngắn,1500,"22,20%",1167,78%,,219,85,29,4,11,10,2,4,3,6,3,2,8,26,6,1,4,1,10,0,8,5,,,,,
284,,284,Chuyện các bà vợ già,2000,"14,20%",1716,86%,,207,62,15,2,8,6,3,6,3,5,7,4,4,5,9,0,1,1,1,2,6,4,,,,,
275,,275,Giữa đất và nước,1500,"18,33%",1225,82%,,149,102,24,8,22,16,7,5,5,4,5,7,9,11,3,2,1,3,8,2,1,7,,,,,
256,,256,Ngợp,2000,"12,80%",1744,87%,,132,89,35,6,7,10,14,2,2,10,6,9,13,5,5,7,4,6,7,2,2,7,,,,,
303,,303,Ba lối tới hồ,2000,"15,15%",1697,85%,,134,104,65,8,13,12,10,7,8,6,4,11,13,4,8,12,6,11,11,1,15,9,,,,,
189,,189,Bão lớn,1500,"12,60%",1311,87%,,85,84,20,9,9,17,5,5,6,1,4,6,11,5,6,3,1,3,2,1,4,6,,,,,
214,,214,Người lính tốt,2000,"10,70%",1786,89%,,83,104,27,10,14,11,7,10,6,7,6,9,12,3,9,1,4,6,6,0,5,5,,,,,
270,,270,Những chuyến dạo chơi,1500,"18,00%",1230,82%,,85,140,45,12,8,19,15,15,9,10,6,12,11,10,13,7,5,5,12,1,7,8,,,,,
