"- Số liệu chưa phải là chính xác tuyệt đối, có sai số tuỳ lượng đầu vào và dọn kho lỗi",,,,,,,,,,,,,,,,,,27/12/2025,27/12/2025,,27/12/2025,,,30/12/2025,,9/2/2026
,Giá bìa,SL in,SL in/ sau chia,"Tổng kho 
(ước tính)
BAN ĐẦU","Quỳnh Mai
11/9",SL thùng,SL/ thùng,Phan Nhu tặng thư viện,7/2024,Lỗi,Mối mọt,"SL sách rời
(không trong thùng)",Kiểm T10/2024,"xuất 
2024","Kiểm 
2024","XUẤT 
(1-4)/2025","KIỂM 
1-4/2025","XUẤT
5-11/2025","KIỂM
5-11/2025",Kiểm lỗi thág 10,Còn tới tháng 12,Bán T12,"XUẤT 
2025","Tổng kho 
2025",BÁN T1/2026,
Các khía cạnh của tiểu thuyết,81000,1000,500,304,,4,76,,304,2,,,340,435,-131,46,235,131,104,,104,17,92,87,,
Jacket trắng ,198000,1000,500,364,,13,28,,365,1,,1,344,322,42,6,336,21,315,,315,3,27,312,,
Ba truyện đời ,117000,1000,500,392,,7,56,,392,1,,,334,324,68,19,310,27,283,,283,3,34,280,,
Vẽ một phụ nữ,234000,1500,750,672,,28,24,,683,,,11,640,395,277,18,576,51,525,,525,1,41,524,,
Bốn tình yêu,88900,2000,2000,2010,,2,75,,2010,40,,đã gửi lại nhà in,1322,688,1307,48,1259,126,1133,,1133,9,79,1124,,
Daisy Miller & Di sản Aspern,123900,2000,2000,1845,,2,57,,1845,79,,đã gửi lại nhà in,1339,506,1324,11,1298,39,1259,,1259,4,35,1255,,
Dưỡng đường đồng hồ cát,127900,2000,2000,1803,,2,54,,1803,49,,đã gửi lại nhà in,1130,673,1115,51,1064,108,956,,956,10,82,946,,
In illo Tempore,111900,700,700,700,,,,,707,18,,gửi lại nhà in 15,203,497,188,66,122,100,22,,22,7,94,105,,
Hotel Savoy,77000,2000,2000,1933,1104,,,,346,,,,377,245,1673,23,1650,71,1579,,1579,9,56,1570,,
Ngắn,99000,1500,1500,1393,714,,,,227,,,,164,273,1105,27,1078,80,998,,998,6,83,992,,
Chuyện các bà vợ già,222000,2000,2000,2052,840,,,,684,,,,401,283,1754,25,1729,64,1665,,1665,9,52,1656,,
Giữa đất và nước,99000,1500,1500,1401,833,,,,,,,,91,265,1136,58,1078,102,976,,976,3,91,973,,
Ngợp,99000,2000,2000,2032,1203,,,,,,,,530,245,1772,51,1721,104,1617,,1617,5,105,1612,,
Ba lối tới hồ,88000,2000,2000,2002,918,,,,,,,,717,264,1723,53,1670,106,1564,,1564,9,98,1555,,
Bão lớn,122000,1500,1500,1453,966,,,,,,,,127,191,1247,48,1199,86,1113,,1113,6,72,1107,,
Người lính tốt,77000,2000,2000,2100,1683,,,,,,,,138,194,1891,48,1843,105,1738,,1738,9,99,1729,,
Những chuyến dạo chơi,133000,1500,1500,1591,642,,,,,,,,761,188,1388,58,1330,144,1186,,1186,14,130,1172,,
May,69500,1500,1500,1472,426,,,,,,,,169,183,1249,61,1188,117,1071,,1071,10,113,1061,,
Nghĩ,66000,2000,2000,2040,1296,,,,,,,,495,218,1807,92,1715,159,1556,,1556,8,151,1548,,
Gentleman cắn thuốc phiện,69500,1500,1500,1535,,,,,,,,,462,208,1312,69,1243,160,1083,,1083,4,128,1079,,
Nghề sống,133000,1000,1000,921,,,,,,,,,187,208,698,69,629,141,488,,488,6,137,482,,
Hành khúc Radetzky,155000,1500,1500,1380,1023,,,,,,,,280,191,1174,55,1119,105,1014,,1014,10,102,1004,,
Sa mạc tình yêu,95000,500,500,550,,,,,,,,,550,0,535,129,406,289,117,,117,8,272,109,,
Job,110000,700,700,700,,,,,,,,,700,0,685,120,565,245,320,,320,6,240,314,,
Tristram Shandy,250000,700,700,700,,,,,,,,,110,0,685,121,564,270,294,,294,5,257,289,,
Một người tên là Thứ Năm,141000,1200,1200,1200,,,,,,,,,,,,,1200,235,965,,965,9,250,956,,
Washington Square,141000,1200,1200,1200,,,,,,,,,,,,,1200,195,1005,,1005,8,222,997,,
Lý thuyết tầng lớp nhàn rỗi,215000,1200,1200,1200,,,,,,,,,,,,,1200,262,938,,938,27,272,911,,
Những nỗi hoảng hốt của cậu học sinh Torless,138000,1200,1200,1200,,,,,,,,,,,,,1200,219,981,,981,9,224,972,,
Ông cha đạo ở Wakefield,146000,,1200,,,,,,,,,,,,,,,,,,,,176,,,
Người phụ tá,158000,,1200,,,,,,,,,,,,,,,,,,,,166,,,
Tay điệp viên,202000,,1200,,,,,,,,,,,,,,,,,,,,177,,,
Tên mọi trên tàu Narcissus,133000,,1200,,,,,,,,,,,,,,,,,,,,171,,,
