STT,TÊN SÁCH,,,Logistics,,,,TẶNG,,,,,Tổng Bán,Tổng trực tiếp,Tổng trung gian,% trung gian,,,,,,,,,
,,,TỔNG TẶNG,LỖI,Lưu chiểu/dịch giả,Hội sách mùa xuân,REVIEW,"THƯ VIỆN/ THIỆN NGUYỆN/ 
CÔNG VIỆC",LẺ,Hội chợ ,Kỳ LO,ĐẠI LÝ,,,Đại lý+mua đứt,,,,,,,,,,
,,"Xuất
4/2026",,,,,,,,,,,,,,,,,,,,,,,
,,932,,9,95,14,2,44,34,239,196,299,768,469,257,"33,46",,đt,bình,hamvas,dế,bw,thơm,Madelein,hoa đinh lễ
59,May,10,0,,,,,,,4,,6,10,4,6,60,,2,4,,,,,,
60,Nghĩ,20,3,,,1,,2,1,13,,3,17,14,3,18,,1,,,2,,,,
61,Gentleman cắn thuốc phiện,14,0,,,,,,1,4,,9,14,5,9,64,,6,3,,,,,,
62,Nghề sống,9,2,,,,1,1,1,2,,4,7,3,4,57,,2,2,,,,,,
63,Hành khúc Radetzky,6,0,,,,,,,2,,4,6,2,4,67,,3,,1,,,,,
64,Sa mạc tình yêu,9,1,,,,,1,,5,,3,8,5,3,38,,3,,,,,,,
65,"Job, tiểu thuyết về một người thuần hậu",5,0,,,,,,2,3,,0,5,5,0,0,,,,,,,,,
66,Tristram Shandy,7,0,,,,,,,3,,4,7,3,4,57,,4,,,,,,,
67,Một người tên là Thứ Năm,7,0,,,,,,,1,,6,7,1,6,86,,6,,,,,,,
68,Washington Square,5,1,,,,,1,,1,,3,4,1,3,75,,3,,,,,,,
69,Lý thuyết tầng lớp nhàn rỗi,22,4,,,,,4,2,5,,11,18,7,11,61,,1,9,,1,,,,
70,Những nỗi hoảng hốt của cậu học sinh Torless,8,1,,,,,1,,2,,5,7,2,5,71,,3,1,,1,,,,
71,Ông cha đạo ở Wakefield,11,1,,,,,1,2,2,,6,10,4,6,60,,6,,,,,,,
72,Người phụ tá,19,2,,,1,,1,2,2,,13,17,4,13,76,,10,2,,1,,,,
73,Tay điệp viên,13,7,,,,,7,,0,,6,6,0,6,100,,6,,,,,,,
74,Tên mọi trên tàu Narcissus,11,0,,,,,,,1,,10,11,1,10,91,,9,1,,,,,,
75,Khác thời đại,122,40,,35,,,5,2,8,63,9,82,73,9,11,,3,5,1,,,,,
76,Anh em Tanner,137,39,9,25,,,5,3,4,68,23,98,75,23,23,,16,6,,1,,,,
77,Nhà xứ cũ,119,40,,35,,,5,2,2,65,10,79,69,10,13,,7,2,1,,,,,
