STT,TÊN SÁCH,,,Logistics,,,TẶNG,,,,Tổng Bán,Tổng trực tiếp,Tổng trung gian,% trung gian,,,,,,
,,,TỔNG TẶNG,LỖI,Lưu chiểu/dịch giả,REVIEW,"THƯ VIỆN/ THIỆN NGUYỆN/ 
CÔNG VIỆC",LẺ,Kỳ CT - thêm,ĐẠI LÝ,,lẻ-khác-kỳ,Đại lý+mua đứt,,,,,,,
,,"Xuất
4/2026",,,,,,,,,,0 chiết khấu,Chiết khấu,,,,,,,
68,Washington Square,3,0,,,,,,,3,3,0,3,100,,3,,,,
69,Lý thuyết tầng lớp nhàn rỗi,9,0,,,,,,,9,9,0,9,100,,6,3,,,
70,Những nỗi hoảng hốt của cậu học sinh Torless,3,0,,,,,,,3,3,0,3,100,,3,,,,
71,Ông cha đạo ở Wakefield,1,0,,,,,,,1,1,0,1,100,,1,,,,
72,Người phụ tá,6,0,,,,,,,6,6,0,6,100,,6,,,,
73,Tay điệp viên,3,0,,,,,,,3,3,0,3,100,,3,,,,
74,Tên mọi trên tàu Narcissus,4,0,,,,,,,4,4,0,4,100,,4,,,,
75,Khác thời đại,3,0,,,,,1,1,1,3,2,1,33,,1,,,,
76,Anh em Tanner,10,0,,,,,1,1,8,10,2,8,80,,8,,,,
77,Nhà xứ cũ,6,0,,,,,1,1,4,6,2,4,67,,3,,1,,
78,Jakob von Gunten,13,2,,,2,,,1,10,11,1,10,91,,10,,,,
79,Đốt kho,40,22,,,2,20,2,1,15,18,3,15,83,,10,,5,,
80,Ferdydurke,0,0,,,,,,,,,,0,,,,,,,
81,Malte Laurids Brigge,0,0,,,,,,,,,,0,,,,,,,
