  ,,TK LA,TK vitanova,NOTE,,
tháng 1/2206,BÁN LẺ,"1,286,300đ",,,,
,ĐẠI LÝ,"17,422,650đ","34,075,623đ",,,
tháng 2/2026,BÁN LẺ,"2,993,900đ",,,,
,ĐẠI LÝ,"1,541,540đ","19,897,390đ",,,
tháng 3/2026,BÁN LẺ,"2,102,700đ","1,064,400đ",,,
,ĐẠI LÝ,"1,200,000đ","14,436,643đ",,,
tháng 4/2026,BÁN LẺ,"4,703,800đ",,,,
,ĐẠI LÝ,"9,489,830đ","42,224,880đ",,,
tháng 5/2026,BÁN LẺ,"4,465,300đ",,,,
,ĐẠI LÝ,"6,730,970đ","16,349,900đ",,,
Tháng 6/2026,BÁN LẺ,"2,615,500đ",,,,
,ĐẠI LÝ,"4,590,332đ","45,457,390đ",,,
Tháng 7/2026,BÁN LẺ,"3,796,000đ",,,,
,ĐẠI LÝ,"2,878,350đ","33,926,154đ",,,
tháng 1,HỘP,,"2,976,120đ",,,mua đứt
,KHÁNH CÁNH CUNG BOOK,,"4,438,070đ",MUA ĐỨT ĐỢT 1,,mua đứt
,KHÁNH CÁNH CUNG BOOK,,"2,076,750đ",MUA ĐỨT ĐỢT 2,NHẬP SH,mua đứt
,HTP,"4,540,140đ",,,,
,TRI VĂN,"1,114,750đ","560,300đ",,,mua đứt
,khai tâm,"1,191,900đ",,,,mua đứt
,dIÊU BÔNG,"4,358,900đ",,,,mua đứt
,ĐÔNG TÂY - TT THÁNG 12,,"10,801,980đ","10,723,923đ",nợ ,
,ĐÔNG TÂY - TT THÁNG 1/2026,,"6,758,955đ","19,675,845đ",nợ ,
,Bình book,,"5,325,948đ",,,
,Bookworm,,"1,137,500đ",thanh toán tháng 12,,
,tổ chim xanh,"4,333,910đ",,,thanh toán gộp 10-11-12,
,Hamvas,"361,800đ",,,,
,Thơm Sách,"543,000đ",,,thanh toán t11-12,
,Cricket,"978,250đ",,,thanh toán t11-12,
tháng 2,,,,,,
,thơm,"1,070,000đ",,,,
,Đông tây,,"5,072,697đ","24,686,928đ",Nợ 12+1,
,,,,"12,790,323đ",NỢ T2,
,bình,,"2,034,370đ",,,
,hamvas,"471,540đ",,,,
,ĐT thanh toán tháng 2/2026,,"12,790,323đ",,,
thang3 ,Bình book,,"1,646,320đ",,,
,Huy,"130,000đ",,,,
,Thơm sách,"1,070,000đ",,,,
,Duyên Madeleine,,,"765,800đ",chờ thanh toán,
,Bookworm,,,,chờ thanh toán,
,TCX,,,,chờ thanh toán,
,ĐtT THÁNG 3,,,"19,062,981đ",CHỜ THANH TOÁN,
tháng 4,ĐT THÁNG 4,,"10,000,000đ",còn nợ 27440000 (tháng 4: 18.375.588đ),,
,Kỳ Duyên Madelein,"765,800đ",,,,
,Dế ,"1,171,500đ",,,,
,Bình book,,"3,209,180đ","chỉ bán được tới 20/4, còn lại nợ",,
,Huy hamvas,"319,680đ",,,,
,hội chợ,,"25,728,400đ",,,
,1. HTP,"3,873,000đ",,,,
,2. Khai tâm,,"1,373,700đ",,,
,3. Trưng Tri văn,"1,237,600đ",,,,
,4. Hộp,,"1,913,600đ",,,
,5. Diêu bông,"2,122,250đ",,,,
,Tổ chim xanh,,,,,
,Khánh cánh cung,,,,,
THÁNG 5,ĐT TT,,"10,000,000đ","NỢ THÁNG 4: 8.375.957đ
NỢ THÁNG 5: 37.962.855đ",,
,Bình book,,"4,500,000đ",nợ 1.632.248 - TỒN,,
,Huy Hamvas,"2,210,520đ",,,,
,HTP,"1,863,000đ",,,,
,kHAI TÂM,"777,000đ",,,,
,DIÊU BÔNG,"1,880,450đ",,,,
,HỘP ,,"1,849,900đ",DTT,,
THÁNG 6,ĐT TT tháng 6,,"43,375,957đ","
NỢ THÁNG 5 còn lại: 16.450.084 (đã đối chiếu thanh toán cả phần đơn bị sót)
Nợ 6/2026: 39.222.981đ
(nếu tính tổng bán thì cộng thêm 13.487.229đ của đơn tháng 5 bị sót)","Đã Thanh toán nợ tháng 4: 8.375.957
Đã thanh toán tháng 5
Đợt 1: 10.000.000đ
Đợt 2: 10.000.000đ
Đợt 3: 15.000.000",
,Bình book,,"2,081,433đ",nợ: 1.780.350đ,,
,Huy Hamvas,"2,194,200đ",,,,
,Dế,"603,050đ",,thanh toán tháng 4,,
,Linh Năm hai ba,"384,000đ",,thanh toán ký gửi tháng 5 - có phát sinh đơn,,
,VHMT,"876,960đ",,,,
,anh Công - Sách cũ,"532,122đ",,Sách cũ/mua khác,,
tháng 7,Dastan Đà Lạt,,3.512.535đ,ĐTT,,
,Bình book,,"1,618,305đ",nợ tồn: 1.515.020,,
,Đông tây,,"32,307,849đ",ĐTT HẾT THÁNG 6,,
,Huy Hamvas,893100,,,,
,Năm Hai Ba,"449,250đ",,,,
,kỳ cũ,"1,536,000đ",,,,
