STT,TÊN SÁCH,,,Logistics,,,TẶNG,,,,,Tổng Bán,Tổng trực tiếp,Tổng trung gian,% trung gian,,,,,,,,,
,,,TỔNG TẶNG,LỖI,Lưu chiểu/dịch giả,REVIEW,"THƯ VIỆN/ THIỆN NGUYỆN/ 
CÔNG VIỆC",LẺ,Kỳ CT,ĐẠI LÝ,MUA ĐỨT,,,Đại lý+mua đứt,,,,,,,,,,
,,"Xuất
4/2026",,,,,,,,,,,,,,,,,,,,,,
50,Hotel Savoy,1,0,,,,,,,1,0,1,0,0,0,,,,1,,,,,
51,Ngắn,0,0,,,,,,,0,0,0,0,0,#DIV/0!,,,,,,,,,
52,Chuyện các bà vợ già,2,0,,,,,,,2,0,2,0,0,0,,2,,,,,,,
53,Giữa đất và nước,2,0,,,,,,,2,0,2,0,0,0,,2,,,,,,,
54,Ngợp,2,0,,,,,,,2,0,2,0,0,0,,1,,1,,,,,
55,Ba lối tới hồ,1,0,,,,,,,1,0,1,0,0,0,,1,,,,,,,
56,Bão lớn,1,0,,,,,,,1,0,1,0,0,0,,1,,,,,,,
57,Người lính tốt,0,0,,,,,,,0,5,0,0,5,#DIV/0!,,,,,,,,5,
58,Những chuyến dạo chơi,1,0,,,,,,,1,0,1,0,0,0,,1,,,,,,,
59,May,3,0,,,,,1,,2,3,3,1,3,100,,2,,,3,,,,
60,Nghĩ,2,0,,,,,1,,1,0,2,1,0,0,,1,,,,,,,
61,Gentleman cắn thuốc phiện,14,2,,,,2,,,12,0,12,0,0,0,,8,3,1,,,,,
62,Nghề sống,2,0,,,,,,,2,0,2,0,0,0,,1,1,,,,,,
63,Hành khúc Radetzky,1,0,,,,,,,1,0,1,0,0,0,,,,1,,,,,
64,Sa mạc tình yêu,4,0,,,,,1,,3,0,4,1,0,0,,2,,1,,,,,
65,"Job, tiểu thuyết về một người thuần hậu",5,0,,,,,,,5,0,5,0,0,0,,3,1,1,,,,,
66,Tristram Shandy,2,0,,,,,,,2,0,2,0,0,0,,,,2,,,,,
67,Một người tên là Thứ Năm,2,0,,,,,,,2,3,2,0,3,150,,2,,,3,,,,
68,Washington Square,6,0,,,,,,,6,0,6,0,0,0,,4,,2,,,,,
69,Lý thuyết tầng lớp nhàn rỗi,9,0,,,,,,1,8,0,9,1,0,0,,2,6,,,,,,
70,Những nỗi hoảng hốt của cậu học sinh Torless,7,0,,,,,,,7,0,7,0,0,0,,2,4,1,,,,,
71,Ông cha đạo ở Wakefield,3,0,,,,,,,3,0,3,0,0,0,,3,,,,,,,
72,Người phụ tá,9,4,,,,4,,1,4,0,5,1,0,0,,3,,1,,,,,
73,Tay điệp viên,2,0,,,,,,,2,0,2,0,0,0,,2,,,,,,,
74,Tên mọi trên tàu Narcissus,1,0,,,,,,,1,0,1,0,0,0,,1,,,,,,,
75,Khác thời đại,12,5,,,,5,2,1,4,3,7,3,3,43,,4,,,3,,,,
76,Anh em Tanner,26,8,,,,8,,,18,4,18,0,4,22,,14,4,,3,1,,,
77,Nhà xứ cũ,8,5,,,,5,,,3,0,3,0,0,0,,2,1,,,,,,
78,Jakob von Gunten,96,35,,15,,20,,61,0,25,61,61,25,41,,,,,5,3,10,7,
79,Đốt kho,116,53,,25,,28,,63,0,30,63,63,30,48,,,,,5,3,15,7,
